id,dataset,manager,package,verdict,exit_code,duration_ms,message,expected,incident
npm:react-router,npm-top,npm,react-router,category-d-blocked,2,313,"yieldOS bloqueó react-router: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:react-dom,npm-top,npm,react-dom,passthrough-or-allow,0,352,,auto,
npm:react,npm-top,npm,react,passthrough-or-allow,0,356,,auto,
npm:react-router-dom,npm-top,npm,react-router-dom,category-d-blocked,2,366,"yieldOS bloqueó react-router-dom: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:react-redux,npm-top,npm,react-redux,category-d-blocked,2,364,"yieldOS bloqueó react-redux: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:vue,npm-top,npm,vue,passthrough-or-allow,0,368,,auto,
npm:vuex,npm-top,npm,vuex,category-d-blocked,2,362,"yieldOS bloqueó vuex: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:vue-router,npm-top,npm,vue-router,category-d-blocked,2,392,"yieldOS bloqueó vue-router: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@angular/core,npm-top,npm,@angular/core,category-d-blocked,2,370,"yieldOS bloqueó @angular/core: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:rxjs,npm-top,npm,rxjs,category-d-blocked,2,349,"yieldOS bloqueó rxjs: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@vue/composition-api,npm-top,npm,@vue/composition-api,category-d-blocked,2,399,"yieldOS bloqueó @vue/composition-api: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@angular/router,npm-top,npm,@angular/router,category-d-blocked,2,390,"yieldOS bloqueó @angular/router: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@angular/common,npm-top,npm,@angular/common,category-d-blocked,2,400,"yieldOS bloqueó @angular/common: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:svelte,npm-top,npm,svelte,passthrough-or-allow,0,373,,auto,
npm:astro,npm-top,npm,astro,passthrough-or-allow,0,384,,auto,
npm:next,npm-top,npm,next,passthrough-or-allow,0,404,,auto,
npm:solid-js,npm-top,npm,solid-js,passthrough-or-allow,0,422,,auto,
npm:koa,npm-top,npm,koa,passthrough-or-allow,0,329,,auto,
npm:gatsby,npm-top,npm,gatsby,passthrough-or-allow,0,402,,auto,
npm:remix,npm-top,npm,remix,passthrough-or-allow,0,436,,auto,
npm:nuxt,npm-top,npm,nuxt,passthrough-or-allow,0,448,,auto,
npm:redux,npm-top,npm,redux,passthrough-or-allow,0,839,,auto,
npm:fastify,npm-top,npm,fastify,passthrough-or-allow,0,433,,auto,
npm:hapi,npm-top,npm,hapi,category-d-blocked,2,235,"yieldOS bloqueó hapi: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:express,npm-top,npm,express,passthrough-or-allow,0,556,,auto,
npm:@sveltejs/kit,npm-top,npm,@sveltejs/kit,category-d-blocked,2,648,"yieldOS bloqueó @sveltejs/kit: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:hono,npm-top,npm,hono,passthrough-or-allow,0,370,,auto,
npm:qwik,npm-top,npm,qwik,passthrough-or-allow,0,738,,auto,
npm:pinia,npm-top,npm,pinia,passthrough-or-allow,0,1203,,auto,
npm:express-session,npm-top,npm,express-session,category-d-blocked,2,324,"yieldOS bloqueó express-session: categoría crítica, requiere aprobación del equipo de seguridad",auto,
