id,dataset,manager,package,verdict,exit_code,duration_ms,message,expected,incident
npm:react-dom,npm-top,npm,react-dom,allowlist-match,0,505,,auto,
npm:react,npm-top,npm,react,allowlist-match,0,521,,auto,
npm:react-redux,npm-top,npm,react-redux,category-d-blocked,2,517,"yieldOS bloqueó react-redux: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:vue-router,npm-top,npm,vue-router,category-d-blocked,2,514,"yieldOS bloqueó vue-router: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:react-router,npm-top,npm,react-router,category-d-blocked,2,530,"yieldOS bloqueó react-router: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:react-router-dom,npm-top,npm,react-router-dom,category-d-blocked,2,531,"yieldOS bloqueó react-router-dom: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:vue,npm-top,npm,vue,allowlist-match,0,534,,auto,
npm:rxjs,npm-top,npm,rxjs,category-d-blocked,2,457,"yieldOS bloqueó rxjs: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@vue/composition-api,npm-top,npm,@vue/composition-api,category-d-blocked,2,514,"yieldOS bloqueó @vue/composition-api: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@angular/common,npm-top,npm,@angular/common,category-d-blocked,2,501,"yieldOS bloqueó @angular/common: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@angular/router,npm-top,npm,@angular/router,category-d-blocked,2,500,"yieldOS bloqueó @angular/router: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:vuex,npm-top,npm,vuex,category-d-blocked,2,545,"yieldOS bloqueó vuex: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@angular/core,npm-top,npm,@angular/core,category-d-blocked,2,551,"yieldOS bloqueó @angular/core: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:svelte,npm-top,npm,svelte,allowlist-match,0,420,,auto,
npm:next,npm-top,npm,next,allowlist-match,0,417,,auto,
npm:remix,npm-top,npm,remix,allowlist-match,0,409,,auto,
npm:nuxt,npm-top,npm,nuxt,allowlist-match,0,412,,auto,
npm:gatsby,npm-top,npm,gatsby,allowlist-match,0,398,,auto,
npm:astro,npm-top,npm,astro,allowlist-match,0,403,,auto,
npm:fastify,npm-top,npm,fastify,allowlist-match,0,397,,auto,
npm:@sveltejs/kit,npm-top,npm,@sveltejs/kit,category-d-blocked,2,438,"yieldOS bloqueó @sveltejs/kit: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:solid-js,npm-top,npm,solid-js,allowlist-match,0,491,,auto,
npm:express,npm-top,npm,express,allowlist-match,0,475,,auto,
npm:koa,npm-top,npm,koa,allowlist-match,0,467,,auto,
npm:redux,npm-top,npm,redux,verification-passed,0,1053,,auto,
npm:pinia,npm-top,npm,pinia,verification-passed,0,1054,,auto,
npm:hapi,npm-top,npm,hapi,category-d-blocked,2,405,"yieldOS bloqueó hapi: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:hono,npm-top,npm,hono,allowlist-match,0,438,,auto,
npm:qwik,npm-top,npm,qwik,verification-passed,0,861,,auto,
npm:typescript,npm-top,npm,typescript,allowlist-match,0,398,,auto,
npm:express-session,npm-top,npm,express-session,category-d-blocked,2,425,"yieldOS bloqueó express-session: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:body-parser,npm-top,npm,body-parser,verification-passed,0,613,yieldOS instaló body-parser con advertencias (ver log),auto,
npm:cors,npm-top,npm,cors,verification-passed,0,606,,auto,
npm:babel,npm-top,npm,babel,category-d-blocked,2,287,"yieldOS bloqueó babel: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:nest,npm-top,npm,nest,verification-passed,0,819,,auto,
npm:@babel/core,npm-top,npm,@babel/core,category-d-blocked,2,443,"yieldOS bloqueó @babel/core: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@babel/preset-env,npm-top,npm,@babel/preset-env,category-d-blocked,2,424,"yieldOS bloqueó @babel/preset-env: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:compression,npm-top,npm,compression,verification-passed,0,872,,auto,
npm:@reduxjs/toolkit,npm-top,npm,@reduxjs/toolkit,verification-passed,0,1896,,auto,
npm:morgan,npm-top,npm,morgan,verification-passed,0,885,yieldOS instaló morgan con advertencias (ver log),auto,
